,ij_grid,latitude,longitude,thickness,thickness_uncertainty,x_proj,y_proj,i_grid,j_grid,survey_id,date,rgi_id,topo,topo_smoothed,slope,slope_factor,aspect,dis_from_border,catchment_area,lin_mb_above_z,oggm_mb_above_z,consensus_ice_thickness,millan_ice_thickness,itslive_v,hugonnet_dhdt,millan_v,glacier_cenlon,glacier_cenlat,glacier_area_km2,glacier_outline_year,glacier_is_tidewater,glacier_median_elev,glacier_min_elev,glacier_max_elev,glacier_length,glacier_oggm_volume,glacier_reference_mb,glacier_aar,glacier_avg_temp,glacier_avg_prcpsol,glacier_avg_prcp,glacier_avg_meltingtemp
41,0019_0035,49.751587,-117.14720275,34.625,3.875,489396.153233755,5511022.001087367,19,35,258,2017-04-16,RGI60-02.00147,2648.067,2647.1785,0.19998989,2.6266074,0.8884566,185.6906,643365.0,218315220.0,297130850.0,47.640957,2.43251,1.1771287,-0.45754755,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
42,0019_0036,49.75136656666667,-117.14724766666666,21.0,2.1666666666666665,489392.8695422095,5510997.499714696,19,36,258,2017-04-16,RGI60-02.00147,2652.077,2650.8823,0.18963253,2.7117665,0.86379,164.04877,621499.0,213876830.0,290699460.0,50.373142,,1.0804784,-0.43594322,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
43,0019_0038,49.7507563,-117.14736866666665,13.0,1.0,489384.0200084145,5510929.667541385,19,38,258,2017-04-16,RGI60-02.00147,2657.6296,2657.6235,0.16223952,2.977872,0.8769405,123.03658,576926.0,204148800.0,276732380.0,54.327892,,1.312525,-0.69571626,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
44,0019_0039,49.75063361666667,-117.14717383333334,14.5,1.6666666666666667,489398.0284537587,5510916.000112392,19,39,258,2017-04-16,RGI60-02.00147,2659.6443,2660.4807,0.14610884,3.1709845,0.8782079,104.56099,555901.0,199246780.0,269748700.0,55.91922,,1.4127364,-0.82560277,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
45,0019_0050,49.7475937,-117.147012,58.0,6.0,489409.02457791,5510578.000318147,19,50,258,2017-04-16,RGI60-02.00147,2702.2544,2703.1924,0.1549028,3.0617127,6.1683965,119.57006,253982.0,108650900.0,144134700.0,47.63637,1.3408877,0.8032904,-0.8359251,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
46,0019_0051,49.747516371428574,-117.14719214285715,57.42857142857143,6.0,489396.0299475546,5510569.428390044,19,51,258,2017-04-16,RGI60-02.00147,2705.373,2707.5803,0.15012564,3.1198022,6.024202,91.706055,222865.0,97058264.0,128447280.0,43.03647,,0.7280807,-0.8214529,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
47,0020_0035,49.7515435875,-117.146852125,32.375,3.5,489421.40127717936,5511017.125027794,20,35,258,2017-04-16,RGI60-02.00147,2644.3066,2642.535,0.21602634,2.5078177,0.8642818,205.06097,671959.0,223776300.0,305109020.0,47.550625,,2.1437545,-0.5633062,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
48,0020_0036,49.75146615,-117.1467285,35.0,4.0,489430.2898654903,5511008.498129409,20,36,258,2017-04-16,RGI60-02.00147,2648.4949,2646.6294,0.20152952,2.6145492,0.8330852,185.6906,647570.0,219140450.0,298332000.0,50.523544,,2.0861754,-0.5047058,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
49,0020_0039,49.75049596666667,-117.14696500000001,21.666666666666668,2.0,489413.042224433,5510900.666751376,20,39,258,2017-04-16,RGI60-02.00147,2657.7117,2657.325,0.15215518,3.094767,0.78411704,129.69194,579449.0,204725020.0,277555170.0,57.333508,,2.2225814,-0.76146746,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
50,0020_0040,49.75032062857143,-117.14675642857142,35.857142857142854,3.857142857142857,489428.0290335211,5510881.143323461,20,40,258,2017-04-16,RGI60-02.00147,2660.6807,2660.3674,0.1387316,3.2711072,0.72652966,119.57006,557583.0,199645780.0,270316100.0,58.89096,,2.2469676,-0.85983855,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
